ID,Tweet,Date,Via
373492353916338178,"emptied the Component wiki page and put ""component sucks bower ftw""","03:08:10, 8-31, 2013",web
373306023865376769,i love systems programming in javascript - only,"14:47:46, 8-30, 2013",Twitter for iPhone
373199518759522304,Opera Mini? Why you gotta do me like this?,"07:44:33, 8-30, 2013",web
373174467863670784,Is anyone testing their Ember.js app,"06:05:01, 8-30, 2013",web
373119338720419840,discuss with me a semicolon as if it were a point of honor,"02:25:57, 8-30, 2013",Twitter for iPhone
373096648622096384,closures definitely aren't something you need,"00:55:47, 8-30, 2013",Twitter for iPhone
373077993343561730,Ember.js 1.0 is canceled,"23:41:39, 8-29, 2013",web
373057373922811904,arguing about javascript frameworks when drunk,"22:19:43, 8-29, 2013",web
372781846490132481,"with JavaScript, you must first solve the halting problem. It's okay","04:04:52, 8-29, 2013",web
372771117779283968,There is a company that will take your money in exchange for making your Ember site,"03:22:14, 8-29, 2013",web
372767222126481408,detailed answer about Ember,"03:06:46, 8-29, 2013",web
372732817332895745,"it'd be neat but have no real use cases, haha","00:50:03, 8-29, 2013",web
372712028906848256,Theres a shitload of reasons why JS,"23:27:27, 8-28, 2013",web
372549670012063744,http://t.co/g5kO5m6Elc,"12:42:17, 8-28, 2013",web
372473139273285634,CSS. It’s simply not the right tool for the job. It’s a hack!,"07:38:11, 8-28, 2013",web
372442562453180416,"The problem isn’t JavaScript, it’s the morons","05:36:41, 8-28, 2013",web
372440336141778944,"Sigh, JavaScript The best","05:27:50, 8-28, 2013",web
372435782121689088,everyone should build real things,"05:09:44, 8-28, 2013",web
372420125263032320,`grunt test`. is there a better way?,"04:07:31, 8-28, 2013",web
372406807857094656,Most JavaScript runtimes no longer interpret JavaScript,"03:14:36, 8-28, 2013",web
372397030502453248,You know those movies where the protagonist slowly descends into madness? JavaScript modules are doing the same thing,"02:35:45, 8-28, 2013",web
372380516927799296,"EmberJS, web apps that break","01:30:08, 8-28, 2013",web
372357286506663936,mobile-friendly HTML5 web applications. Neat. How?,"23:57:49, 8-27, 2013",web
372351022779219969,Remember when you were awful at architecting JavaScript applications and wrote functions,"23:32:56, 8-27, 2013",Twitter for iPhone
372107516349390848,onpaste=“return false;” You,"07:25:19, 8-27, 2013",web
372088986241486848,I guess c++ is a lot like js,"06:11:42, 8-27, 2013",web
372071459637587968,"Firefox OS, the whole procedure is extremely easy and doesn't involve much more than writing a manifesto","05:02:03, 8-27, 2013",Twitter for iPhone
371830234640699392,My Firefox OS app was rejected,"13:03:30, 8-26, 2013",web
371769464615739392,all those people who said mocha was good for browser testing were lying,"09:02:02, 8-26, 2013",Twitter for iPhone
371729459008643072,JUST THINK IF WE COULD INVOLVE JAVASCRIPT SOMEHOW THAT MIGHT BE THE TICKET,"06:23:04, 8-26, 2013",web
371534734163070976,The JS console awaits the bold and fearless.,"17:29:18, 8-25, 2013",Twitter for iPhone
371505683461464065,silliness in ES5 has bitten me quite a few times,"15:33:51, 8-25, 2013",web
371500816651137024,Any javascript people in the bay area,"15:14:31, 8-25, 2013",web
371324452379697152,I've been sad about promises recently.,"03:33:42, 8-25, 2013",web
371313397268107265,legal horse literals,"02:49:47, 8-25, 2013",web
371132422022103040,"In Node.js just calling setImmediate 100,000 times","14:50:39, 8-24, 2013",web
371108310826500096,Th͏e Da҉rk Pońy Lo͘r͠d HE ́C͡OM̴E̸S,"13:14:50, 8-24, 2013",web
371107178205048832,Ḫ̷̲̫̰̯̭̀̂̑̈ͅĚ̥̖̩̘̱͔͈͈ͬ̚ ̦̦͖̲̀ͦ͂C̜͓̲̹͐̔ͭ̏Oͭ͛͂̋ͭͬͬ͆͏̺͓̰͚͠ͅM̢͉̼̖͍̊̕Ḛ̭̭͗̉̀̆ͬ̐ͪ̒S͉̪͂͌̄,"13:10:20, 8-24, 2013",web
371107014912376832,there’s a chance that a library you’re using will release Zalgo,"13:09:41, 8-24, 2013",web
371103593002061824,"congrats mike, now I can pretend I like firefox","12:56:06, 8-24, 2013",web
371032776805335040,"In a world with only resolve, reject, and then,","08:14:42, 8-24, 2013",web
371024009149702144,fat stacks of fat arrows,"07:39:51, 8-24, 2013",web
370980821655486465,the boss of me is jshint,"04:48:15, 8-24, 2013",web
370965084987588608,"is fast, performant and is optimized","03:45:43, 8-24, 2013",web
370957828866834432,ALL THINGS ARE NPM,"03:16:53, 8-24, 2013",web
370951908753559552,What just happened here? Nothing good.,"02:53:21, 8-24, 2013",web
370944113182396417,"NPM is node, right?","02:22:23, 8-24, 2013",web
370940551543005184,ya dont need utility libs because of ES5,"02:08:13, 8-24, 2013",web
370922695744954368,"""resolveOnce"" or ""forceInvokeNext"" or ""resolveNonGreedy"" or even ""monadicThen""","00:57:16, 8-24, 2013",web
370908635850756096,is JS any more instantaneous? You didn't have to type in a whole Basic program every time you wanted to run one - I'm guessing,"00:01:24, 8-24, 2013",web
370774230889013249,the original JavaScript Ninja,"15:07:19, 8-23, 2013",Twitter for iPhone
370731301759766529,"Me, I'm going to keep kvetching about javascript frameworks","12:16:44, 8-23, 2013",web
370711781070487552,Don’t worry about it. i got solution and i am sharing with you with code that you have to add only one line code,"10:59:10, 8-23, 2013",web
370683536744787968,A cool thing to do when programming is to imagine,"09:06:56, 8-23, 2013",web
370672744410513408,oh my God! Wow! You’re coding in Javascript!,"08:24:03, 8-23, 2013",web
370634772571095040,"Inevitably, someone will point out what Ember can do","05:53:10, 8-23, 2013",web
370632106889588736,sweet! You can add new features so quickly by just throwing crap,"05:42:34, 8-23, 2013",web
370555010389536768,USE FUNCTION CLOSURES!,"00:36:13, 8-23, 2013",web
370548956905746432,vanilla JS! w00t!,"00:12:10, 8-23, 2013",web
370370468416454656,"you can also use a callback:"" hahaha","12:22:55, 8-22, 2013",web
370325431502659584,JavaScript is waiting for me to master it.,"09:23:57, 8-22, 2013",web
370284418373394432,go insane if you want to edit a JS plugin,"06:40:59, 8-22, 2013",web
370278727764045824,we're all about scalable penguins in these parts,"06:18:22, 8-22, 2013",web
370270394860584960,Proxy is one of those features nobody can't wait to use since ever,"05:45:16, 8-22, 2013",web
370265575525597184,I like to think I can see the few times when it’s a wayward puzzle piece,"05:26:07, 8-22, 2013",web
370227181273612288,Motivation 1. Deep existence. It all started because a program would crash,"02:53:33, 8-22, 2013",web
370214271923552256,hate how Angular's docs spend too much time explaining,"02:02:15, 8-22, 2013",Twitter for iPhone
370198577206661122,I forget bower is managed by NPR...,"00:59:53, 8-22, 2013",web
370180626529259520,a bunch of nerds get worked up and fight over javascript,"23:48:33, 8-21, 2013",web
370170164522024961,When trying to learn new things it's important to get positive reinforcement very quickly and JavaScript,"23:06:59, 8-21, 2013",Twitter for iPhone
370160724267380738,modules. HOOORAAAAAAAYYYY!!!!!,"22:29:28, 8-21, 2013",Twitter for iPhone
370154137180454912,"do a little escapement dance, which costs a little extra","22:03:18, 8-21, 2013",Twitter for iPhone
369945128485416960,What is Node.js? A lot of the confusion,"08:12:46, 8-21, 2013",web
369922322716581888,my !#☃$@ program wrote to stder,"06:42:09, 8-21, 2013",web
369888590056022016,"at least in JS, specs are so clear","04:28:06, 8-21, 2013",web
369881803022012416,"ES6 Modules, Browserify, JSPM, AMD, Require….FFS","04:01:08, 8-21, 2013",web
369841785989640192,"Hey JS friends, how do you feel","01:22:07, 8-21, 2013",web
369821450993410048,"WTF! I thought Node.js was supposed to be cool, what the hell is going on","00:01:19, 8-21, 2013",Twitter for iPhone
369814915806400512,The JavaScript event triggered every time the blue button is clicked on http://t.co/QBGW7X6ojA is largely the responsibility of Angus,"23:35:21, 8-20, 2013",Twitter for iPhone
369532650827948032,I fear cargo cult blindly,"04:53:44, 8-20, 2013",web
369478223802814464,With ECMAScript 6 you won't need CoffeeScript for anything,"01:17:27, 8-20, 2013",web
369251561009999872,Is there any javascript that I can set up that will give me the URL of every webpage that has my code?,"10:16:47, 8-19, 2013",Twitter for iPhone
369207868089589761,Really stupid question about javascript,"07:23:09, 8-19, 2013",web
369191879490809857,"you don't intend to use ClojureScript, hopefully","06:19:37, 8-19, 2013",web
369173137402781696,"All this syntax sugar shit is whack. Great, you typed 24 characters instead of 3 lines","05:05:09, 8-19, 2013",web
369156678882562049,Some people are trying the new Internet Explorer and actually liking it. Not,"03:59:45, 8-19, 2013",web
369144187838402562,"deep in the history, still present in the code (though in memory only), is CoffeeScript","03:10:07, 8-19, 2013",web
368797544853143552,"""monads"" - whatever","04:12:41, 8-18, 2013",web
368791485400903680,ECMAScript Regrets,"03:48:36, 8-18, 2013",web
368776878183563265,"Chrome wakes me up in the middle of the night, with monsters.","02:50:33, 8-18, 2013",web
368740948089376768,Provide an alternative to callbacks (which look weird) and promises (which are weird),"00:27:47, 8-18, 2013",web
368500938748608512,aren't all the things on NPM…,"08:34:04, 8-17, 2013",web
368497441743454208,I don't understand what the big deal is. Callbacks are OK.,"08:20:11, 8-17, 2013",web
368494554971795457,"Reduced the webpage, there's still some more that can be reduced.","08:08:42, 8-17, 2013",web
368493227835265024,er it was *intern* JS,"08:03:26, 8-17, 2013",web
368475691370557440,"we should be waving our arms around saying callbacks are like goto, they so completely are","06:53:45, 8-17, 2013",web
368457257219944448,froze Chrome and slowed everything to a crawl. Way to go Mozilla.,"05:40:30, 8-17, 2013",web
368433194703400960,an Ember.js app that connects to Hadoop via WebSocket and visualizes big data using D3,"04:04:53, 8-17, 2013",web
368417455095312384,tail you live logs with jitsu,"03:02:20, 8-17, 2013",web
368364545682587648,solve everything with Grunt tasks,"23:32:06, 8-16, 2013",web
368167779410518017,One of my favorite hobbies is to chat up CS professors and hound them,"10:30:13, 8-16, 2013",web
368151222634573824,Who needs ML when now we have Javascript?,"09:24:26, 8-16, 2013",web
368123616346398721,I came to the realization that callback-based programming has somehow become an acceptable programming model,"07:34:44, 8-16, 2013",web
368109575037140992,why JS specifically? Why not,"06:38:56, 8-16, 2013",web
368086154928599040,make a VM inside of a VM inside of a VM and lets see how slow we can make the browser,"05:05:52, 8-16, 2013",web
368012858316972032,JS hardware. Ooowee,"00:14:37, 8-16, 2013",Twitter for iPhone
367873915453857793,"what happens when JS is controlling real hardware, directly, and the coder said do this but the code (JS) does something else?","15:02:30, 8-15, 2013",web
367863192430460928,freeing all elements and event listeners!,"14:19:54, 8-15, 2013",web
367856546874531843,Who needs documentation when you can just pop open a REPL and copy-paste your functions,"13:53:29, 8-15, 2013",web
367851606013784064,"Wow, a company in Austin is hiring a developer","13:33:51, 8-15, 2013",web
367840902846226432,"one thinks s/he knows javascript, actually s/he knows a higher level","12:51:20, 8-15, 2013",web
367818609449373696,Change of plans. I'm learning Haskell,"11:22:44, 8-15, 2013",web
367806683080187905,Java is to JavaScript like Java is,"10:35:21, 8-15, 2013",web
367804927088672770,"in Javascript, Javascript will rapidly become the most popular way","10:28:22, 8-15, 2013",web
367798382598701058,"no @mozilla, thank you","10:02:22, 8-15, 2013",web
367770321933201408,JavaScript right on the hardware,"08:10:52, 8-15, 2013",web
367765753673416704,It’s funny how normal CSS is,"07:52:43, 8-15, 2013",web
367753123898466304,Man @paul_irish sounds weird,"07:02:31, 8-15, 2013",web
367739328698400769,"Sometimes, a `stream` isn't the simplest abstraction, sometimes","06:07:42, 8-15, 2013",web
367736361341566978,Hey @jdalton any more progress on Lo-Dash,"05:55:55, 8-15, 2013",web
367707330596442113,I'm not sure what I'm going to do about Bootstrap,"04:00:33, 8-15, 2013",web
367699828995665920,using Firefox's Dev Tools rather than Firebug...mainly because Firebug,"03:30:45, 8-15, 2013",web
367693786400296960,discussion on PE vs. JS-only this morning. No,"03:06:44, 8-15, 2013",web
367684386272980992,I’m gonna end up with a reputation for having strong opinions,"02:29:23, 8-15, 2013",web
367649621712969730,elements in HTML! There will come a time when you need to have one,"00:11:15, 8-15, 2013",web
367643632372703233,Things I do not want to see in my web browser:,"23:47:27, 8-14, 2013",web
367640425948909568,crying This thread kinda discourages,"23:34:42, 8-14, 2013",web
367394710890889216,Eventually the Domain module will be a thing,"07:18:19, 8-14, 2013",web
367389069619101696,someone else's project's style makes me sad,"06:55:54, 8-14, 2013",web
367382435509465090,JS code you're lucky to get,"06:29:32, 8-14, 2013",web
367371990862012416,drink win with me and @izs,"05:48:02, 8-14, 2013",web
367355571520798720,ClojureScript hipster,"04:42:48, 8-14, 2013",web
367339550516854784,The key to learn javascript is understanging the following:,"03:39:08, 8-14, 2013",Twitter for iPhone
367322850559918081,answer all of my ember woes. you owe me this,"02:32:46, 8-14, 2013",web
367301428869468163,In the age of PRISM you will definitely want to see “Javascript Crypto,"01:07:39, 8-14, 2013",Twitter for iPhone
367289663527976961,Repeat after me: Chrome packaged apps,"00:20:54, 8-14, 2013",web
367016373391593473,the “best JavaScript programmer” in Austin Texas,"06:14:56, 8-13, 2013",web
366978162669785088,angular tips: removing,"03:43:06, 8-13, 2013",web
366765811030953984,node point javascript,"13:39:18, 8-12, 2013",web
366325926436421632,Use the One True Bace Style,"08:31:21, 8-11, 2013",web
366308214880473088,telling jokes about JITs,"07:20:58, 8-11, 2013",web
366223564761870339,Horse Public License,"01:44:36, 8-11, 2013",Twitter for iPhone
366088511339761666,Rick reserves his right to yell at things,"16:47:57, 8-10, 2013",Twitter for iPhone
366083832698507264,"keeps happening, oh god","16:29:21, 8-10, 2013",Twitter for iPhone
365986899208306688,bug me tmotrow when I am not.drink,"10:04:11, 8-10, 2013",web
365924297400795137,"expect a story about ""we re-wrote it in node"" to end badly","05:55:25, 8-10, 2013",Twitter for iPhone
365891757197635584,Refactoring done. Scared,"03:46:07, 8-10, 2013",web
365868708930920448,"I believe in you, Yehuda. Seize the reins","02:14:32, 8-10, 2013",web
365863955719131136,I just do big eye rolls over JavaScript framework discussions,"01:55:39, 8-10, 2013",web
365851906213548032,AMD 4eveeeerrrrr,"01:07:46, 8-10, 2013",web
365843814579060737,I don't understand where tests suppose to run before deploying whatever change: do you know?,"00:35:37, 8-10, 2013",web
365695556154179584,"tags shall blink until the end of days. But ""rumble"" and ""shudder"" are the new hotness.","14:46:29, 8-9, 2013",web
365645121397600256,"I find notes to myself on my computer with no context,","11:26:04, 8-9, 2013",Twitter for iPhone
365629244396666880,pretend like sprockets is good,"10:22:59, 8-9, 2013",Twitter for iPhone
365518543560773633,take such a good care of code quality,"03:03:06, 8-9, 2013",Twitter for iPhone
365485259783016448,blend JavaScript and poetry to explore the nature of humanity,"00:50:50, 8-9, 2013",web
365245663853817860,it works cross-browser. I don't know what is happening,"08:58:46, 8-8, 2013",web
365230483925250048,opening and closing my laptop. Welcome to the internet >_<,"07:58:27, 8-8, 2013",web
365218153162219520,the problem with using SunSpider is using SunSpider,"07:09:27, 8-8, 2013",web
365209566016839680,…label statement… Now that is interesting.,"06:35:20, 8-8, 2013",web
365201921562255360,flexboxes are great… for what,"06:04:57, 8-8, 2013",web
365175724472147970,Spoiler: the bottleneck does not lie,"04:20:52, 8-8, 2013",Twitter for iPhone
365163110199336960,you think you could buy JavaScript itself?,"03:30:44, 8-8, 2013",web
365162081277849601,think about it. Like products>javascript ..hmm...,"03:26:39, 8-8, 2013",web
365129323264491520,No one wants to learn your markup language.,"01:16:29, 8-8, 2013",Twitter for iPhone
365115346304249858,"This is a joke, don't use this for real.","00:20:56, 8-8, 2013",web
364974108951314432,Dear Chrome: Can you add native JSON,"14:59:43, 8-7, 2013",web
364875304189169664,JavaScript that consumes,"08:27:06, 8-7, 2013",web
364864158111502336,"not impressed by Backbone, Angular or Ember","07:42:48, 8-7, 2013",web
364858642761129984,"Some people, when faced with a git issue they don’t understand, think, “I know, I’ll use git push -f!” You should","07:20:53, 8-7, 2013",web
364843880090308608,Chrome’s insane,"06:22:14, 8-7, 2013",web
364721939916390402,"Still don't understand promises, but I just used a bunch","22:17:41, 8-6, 2013",web
364619853497245697,I believe the potential for Emscripten is huge and the only major hurdle I see is the horrible performance,"15:32:02, 8-6, 2013",web
364616720297635840,"If you're a JS programmer you should really, really, really, no I mean REALLY","15:19:35, 8-6, 2013",web
364613466952183808,"output AMD from CommonJS, this might be the simplest solution","15:06:39, 8-6, 2013",web
364610710463987712,the memories @SlexAxton and I have made,"14:55:42, 8-6, 2013",web
364523189172322304,for sure going to be doing things with JavaScript,"09:07:55, 8-6, 2013",web
364487778613997568,"Travis, seriously... I know","06:47:12, 8-6, 2013",web
364469961193832448,is jQuery UI so ugly?,"05:36:24, 8-6, 2013",web
364449333216690176,I optimize JavaScript code based on my knowledge,"04:14:26, 8-6, 2013",web
364437788600451073,Extending Backbone.js? Wonderful! Now STOP,"03:28:34, 8-6, 2013",Twitter for iPhone
364419339291607040,If devtools isn't giving you the answer: Take a deep breath,"02:15:15, 8-6, 2013",web
364403670084886528,Beginning to suspect the situation is not going to improve until someone writes Effective JavaScript,"01:12:59, 8-6, 2013",web
364394775836753920,not willing to wait for the callback,"00:37:39, 8-6, 2013",web
364171148126208000,RT @Horse_ebooks: Don t block,"09:49:02, 8-5, 2013",web
363910430562856960,Just Enough JavaScript,"16:33:02, 8-4, 2013",Twitter for iPhone
363367631803260931,you should always check installed packages into source control,"04:36:09, 8-3, 2013",web
363352681009528832,DO YOU PEOPLE KNOW ANYTHING ABOUT BACKWARD COMPATIBILITY!!!!!,"03:36:44, 8-3, 2013",Twitter for iPhone
363337106250149888,JSON? What dark magic is this?,"02:34:51, 8-3, 2013",web
363325929331769346,"HEY @jquery PEOPLE, WHY","01:50:26, 8-3, 2013",web
363309948714758145,Pro-tip: Discover objects,"00:46:56, 8-3, 2013",web
363297399873089536,Compiled Javascript is a problem; however that is offset by these benefits:,"23:57:04, 8-2, 2013",web
363287298403606529,I'm totally on this generators thing now,"23:16:56, 8-2, 2013",web
363026446018547715,related: is there an npm module that talks,"06:00:24, 8-2, 2013",Twitter for iPhone
363013749243772928,Mobile web performance is mostly driven by JavaScript performance on the CPU Reality,"05:09:56, 8-2, 2013",Twitter for iPhone
363003309612736513,"I wrapped it in promises, and need","04:28:27, 8-2, 2013",web
362992398948769793,We should not let knowledge of our jQuery plugins' existence leak out,"03:45:06, 8-2, 2013",web
362986225503715328,“Dependency Injection” does not exist,"03:20:34, 8-2, 2013",web
362953504215666688,deal. Classes are first-class.,"01:10:33, 8-2, 2013",web
362945909220319232,Node.js for one reason: Javascript is now an isomorphic,"00:40:22, 8-2, 2013",web
362931246361350145,don’t consider what an experience is like without JS,"23:42:06, 8-1, 2013",web
362712821441638401,know JavaScript or be not afraid of it,"09:14:10, 8-1, 2013",Twitter for iPhone
362682940645318656,ideas relating to HTML5. There's not a lot there so far,"07:15:26, 8-1, 2013",web
362651045115080704,"“dependency injection,” what exactly are you","05:08:41, 8-1, 2013",web
362594493578477568,makes the browser spin like there was no tomorrow. Is there any way I can do this? Thanks,"01:23:58, 8-1, 2013",web
362590304848723969,"consider how much stuff the specs hang off the global window object, LOLZ","01:07:19, 8-1, 2013",web
362583967725129730,"If you’re trying to understand how to use Backbone to write a large scale web app, do *not*","00:42:09, 8-1, 2013",web
362463972038946816,I know things that only @izs knows.,"16:45:19, 7-31, 2013",web
362447904792784896,Friends at @twitter: How do I get one of those cool little {✓} thingies next to my name? I can prove I'm me.,"15:41:29, 7-31, 2013",web
362334916446388224,Source code style: it should be consistent with my own,"08:12:30, 7-31, 2013",web
362303776801034240,The beauty with the command line is that it's used for executing commands,"06:08:46, 7-31, 2013",Twitter for iPhone
362273792787087360,ruby is the emoest language,"04:09:37, 7-31, 2013",web
362232047118450691,Looks like Mozilla is adopting @blink,"01:23:44, 7-31, 2013",web
362228550750834688,"CSS people, I need your help. How can I do this? I want to position an element","01:09:51, 7-31, 2013",web
362182506000297986,"Well, never mind, this was all just a workaround","22:06:53, 7-30, 2013",web
362082764226441217,"technically, jQuery's ""plugin architecture"" is just correct","15:30:32, 7-30, 2013",Twitter for iPhone
362062865445830656,robots? With JavaScript? It doesn't matter.,"14:11:28, 7-30, 2013",web
362053279099789312,"a huge community of ""people stubbing functions on $.fn""","13:33:23, 7-30, 2013",web
361989094529703937,"against nodejs domains, I think","09:18:20, 7-30, 2013",web
361973712838328320,True story: I invented @nodejs,"08:17:12, 7-30, 2013",web
361905262187122688,Either V8 is crazy or I don't understand,"03:45:13, 7-30, 2013",web
361893045920202754,"completely happy with classes, I think they are the best","02:56:40, 7-30, 2013",web
361885499109019648,IndexedDB ain’t so bad,"02:26:41, 7-30, 2013",web
361883914811346944,I am AWAKE and KINDA ORNERY,"02:20:23, 7-30, 2013",web
361869484266491904,for using with is ok,"01:23:02, 7-30, 2013",web
361861024841875457,My fears about #a11y,"00:49:26, 7-30, 2013",web
361848915974303744,the web needs more parallax,"00:01:19, 7-30, 2013",web
361692813521461248,doing that thing with the DOM freezing,"13:41:01, 7-29, 2013",web
361343193763164163,Done w/ JS hardware hacking,"14:31:45, 7-28, 2013",web
361326762187165697,"idea: ""perfect javascript""","13:26:27, 7-28, 2013",web
361169933347995651,semantic versioning the whole exercise feels pointless. =/,"03:03:16, 7-28, 2013",web
361031295880527874,Node jokes? Seriously: not funny.,"17:52:23, 7-27, 2013",Twitter for iPhone
360865656104697856,sick of seeing the word `function`,"06:54:11, 7-27, 2013",web
360848426973413376,CoffeeScript compiler itself got bitten by the horrible CoffeeScript,"05:45:43, 7-27, 2013",web
360845002101882881,"When you and a woman are collaborating on an open source JavaScript application, you should expect her to not shave","05:32:07, 7-27, 2013",web
360807178061365248,I know everything about Node.,"03:01:49, 7-27, 2013",web
360798121212657664,THE THINGS CHROME DOES,"02:25:50, 7-27, 2013",web
360791470455795712,robots don’t have URLs they are bullshit. #nodebots,"01:59:24, 7-27, 2013",web
360538109961707521,Bikeshed time!,"09:12:38, 7-26, 2013",web
360421497187221504,champagne! and javascript,"01:29:15, 7-26, 2013",web
360416767337693184,"IE11 extends its leadership in Javascript performance, so real-world","01:10:28, 7-26, 2013",web
360407428602408960,"JavaScript is obviously better, 'cause","00:33:21, 7-26, 2013",web
360268230415220736,"Over a year ago, the SpiderMonkey team began an effort to claw our way back","15:20:14, 7-25, 2013",web
360255673193336833,I will collect as many #FirefoxOS phones as I can get,"14:30:20, 7-25, 2013",web
360243361015271426,shit library that Rick Waldron made to make working with Arduino and JavaScript stupid,"13:41:24, 7-25, 2013",web
360218007697498113,and WTF is Nodebots,"12:00:40, 7-25, 2013",web
360216301660155904,the V8 API O_o,"11:53:53, 7-25, 2013",web
360160622249390080,writing html still works?,"08:12:38, 7-25, 2013",web
360133768750702593,a side note: asm.js might not be useful or necessary,"06:25:56, 7-25, 2013",web
360113137921433601,all of Node's JS is just plain old,"05:03:57, 7-25, 2013",web
360104186274267137,named DOM element. SURPRISE!,"04:28:23, 7-25, 2013",web
360099968209530880,How come no one calls ME sweet or gorgeous when I give a talk?,"04:11:37, 7-25, 2013",web
360070011374669825,"on principle, I dislike anything unshimmable","02:12:35, 7-25, 2013",web
360060827266588673,imports are like `with`,"01:36:05, 7-25, 2013",web
359747744123981824,node. Wish me luck.,"04:52:00, 7-24, 2013",web
359687049655238657,hire all the best Python programmers and then force them to write JavaScript,"00:50:49, 7-24, 2013",web
359672787146776578,Going forward I really hope the Chrome team get’s their faulty implementation cleaned up,"23:54:09, 7-23, 2013",web
359496154788003842,"This is messy, but it gets worse.","12:12:17, 7-23, 2013",web
359484142712397826,Hey @bower team why is this happening to me?,"11:24:33, 7-23, 2013",web
359443863770906625,those ten days in May,"08:44:29, 7-23, 2013",web
359436628479062016,"What About Objects!? “Aha!”, says the JavaScript developer","08:15:44, 7-23, 2013",web
359191338606010369,"yo, fuck that. All of my b2g/ffos email is “skip inbox” so I don’t see it","16:01:03, 7-22, 2013",web
359184570123419648,"JavaScript. I will explain how it works. First, let’s learn some Lisp.","15:34:09, 7-22, 2013",web
359065215544983554,rails makes me want to die in a fire,"07:39:53, 7-22, 2013",web
359053605027848193,Is Lars Bak Dr. Claw? Is he?,"06:53:44, 7-22, 2013",web
358830221815853058,Promises? Boo.,"16:06:06, 7-21, 2013",web
358825645259759617,Does yield help in any way?,"15:47:55, 7-21, 2013",web
358824850615304192,jshint this,"15:44:45, 7-21, 2013",web
358750248925016066,"Quick, to the node-mobile!","10:48:19, 7-21, 2013",web
358669152954757121,Shall we start using yields today?,"05:26:04, 7-21, 2013",Twitter for iPhone
358401130037919750,hacker news! Promises are the future,"11:41:02, 7-20, 2013",Twitter for iPhone
358397472013434882,(performance aside) I've had good experiences with templating languages,"11:26:30, 7-20, 2013",web
358359132333543424,Purely Functional JSON,"08:54:09, 7-20, 2013",web
358332630380449792,With @angularjs is it possible,"07:08:51, 7-20, 2013",web
358313722797752320,any comics about the web platform as a superhero yet,"05:53:43, 7-20, 2013",web
358303366037766148,have no idea who @joemccann is,"05:12:34, 7-20, 2013",web
358297587046027264,you don't have to think about URLs in URLs. You can use URLs,"04:49:36, 7-20, 2013",Twitter for iPhone
358289970932359168,In fact JavaScript can't technically perform slowly,"04:19:20, 7-20, 2013",web
358283343479062528,advocate insane z-indexes. I don’t care,"03:53:00, 7-20, 2013",web
358279661823852544,"you and I both know that we have very different opinions of what a ""normal web app"" is","03:38:22, 7-20, 2013",web
358266049369604097,"There, I said it. I'm taking a side. And, since I'm on the internet, I'm not going to explain why.","02:44:17, 7-20, 2013",web
358259204106108930,mutability is a powerful idea.,"02:17:05, 7-20, 2013",Twitter for iPhone
358252721557606401,vim total freakout mode,"01:51:19, 7-20, 2013",web
358244702392303616,JavaScript identifiers can't be longer than 19 characters,"01:19:27, 7-20, 2013",web
358224608937246720,TypeError: asm.js,"23:59:36, 7-19, 2013",web
358221779120046081,nom cache clear,"23:48:22, 7-19, 2013",web
358208371725316099,How Firefox OS plans to kill,"22:55:05, 7-19, 2013",Twitter for iPhone
358090916965269504,JavaScript is basically Scheme.,"15:08:22, 7-19, 2013",web
